Name,Genre,Description,Year,Runtime
Lost Highway,"Mystery, Thriller            ","Anonymous videotapes presage a musician's murder conviction, and a gangster's girlfriend leads a mechanic astray.",1997,134 min
Nil by Mouth,Drama            ,"A rough, short-tempered patriarch of a working-class family sees his life and the relationships around him slowly unravel.",1997,128 min
Retroactive,"Action, Crime, Drama            ",A psychiatrist makes multiple trips through time to save a woman that was murdered by her brutal husband.,1997,91 min
Starship Troopers,"Action, Adventure, Sci-Fi            ","Humans in a fascist, militaristic future wage war with giant alien bugs.",1997,129 min
The Ice Storm,Drama            ,"In suburban New Canaan, Connecticut, 1973, middle-class families experimenting with casual sex and substance abuse find their lives beyond their control.",1997,112 min
A Simple Plan,"Crime, Drama, Thriller            ","Three blue-collar acquaintances come across millions of dollars in lost cash and make a plan to keep their find from the authorities, but it isn't long before complications and mistrust weave their way into the plan.",1998,121 min
American History X,"Crime, Drama            ",A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,1998,119 min
Buffalo '66,"Comedy, Drama, Romance            ","After being released from prison, Billy is set to visit his parents with his wife, whom he does not actually have. This provokes Billy to act out, as he kidnaps a girl and forces her to act as his wife for the visit.",1998,110 min
Happiness,"Comedy, Drama            ","The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts society as a whole might find disturbing in a desperate search for human connection.",1998,134 min
Seul contre tous,"Crime, Drama, Thriller            ",A horse butcher's life and mind begin to break down as he lashes out against various factions of society while attempting to reconnect with his estranged daughter.,1998,93 min
Last Night,"Comedy, Drama, Romance            ",A group of very different individuals with different ideas of how to face the end come together as the world is expected to end in six hours at the turn of the century.,I 1998,95 min
Love Is the Devil: Study for a Portrait of Francis Bacon,"Biography, Drama, Romance            ","Biography of British painter Francis Bacon focuses on his relationship with his lover, George Dyer, a former small time crook.",1998,87 min
Out of Sight,"Comedy, Crime, Drama            ","A career bank robber breaks out of jail, and shares a moment of mutual attraction with a U.S. Marshal he has kidnapped.",1998,123 min
Pi,"Drama, Horror, Mystery            ",A paranoid mathematician searches for a key number that will unlock the universal patterns found in nature.,1998,84 min
Ringu,"Horror, Mystery            ",A reporter and her ex-husband investigate a cursed video tape that is rumored to kill the viewer seven days after watching it.,1998,96 min
Lola rennt,"Action, Crime, Thriller            ","After a botched money delivery, Lola has 20 minutes to come up with 100,000 Deutschmarks.",1998,81 min
Rushmore,"Comedy, Drama, Romance            ","A teenager at Rushmore Academy falls for a much older teacher and befriends a middle-aged industrialist. Later, he finds out that his love interest and his friend are having an affair, which prompts him to begin a vendetta.",1998,93 min
Festen,Drama            ,"At Helge's 60th birthday party, some unpleasant family truths are revealed.",1998,105 min
The General,"Biography, Crime, Drama            ","The real-life story of Dublin folk hero and criminal Martin Cahill, who pulled off two daring robberies in Ireland with his team, but attracted unwanted attention from the police, the I.R.A., the U.V.F., and members of his own team.",1998,124 min
There's Something About Mary,"Comedy, Romance            ","A man gets a chance to meet up with his dream girl from high school, even though his date with her back then was a complete disaster.",1998,119 min
Wild Things,"Crime, Drama, Mystery            ",A police detective uncovers a conspiracy behind a case involving a high-school guidance counselor when accusations of rape are made against him by two female students.,1998,108 min
A Room for Romeo Brass,"Comedy, Drama            ","After stopping 12 y.o. Romeo and Gavin from being beaten up, Morell drives them home and meets Romeo's adult sister and falls in love. The boys ""help"" him in his pursuit.",1999,90 min
American Movie,"Documentary, Comedy            ",Documentary about an aspiring filmmaker's attempts to finance his dream project by finally completing the low-budget horror film he abandoned years before.,1999,107 min
Ôdishon,"Drama, Horror, Mystery            ","A widower takes an offer to screen girls at a special audition, arranged for him by a friend to find him a new wife. The one he fancies is not who she appears to be after all.",1999,115 min
Being John Malkovich,"Comedy, Drama, Fantasy            ",A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.,1999,113 min
Election,"Comedy, Romance            ",A high school teacher meets his match in an over-achieving student politician.,1999,103 min
Ghost Dog: The Way of the Samurai,"Crime, Drama            ",An African-American Mafia hit man who models himself after the samurai of old finds himself targeted for death by the mob.,1999,116 min
Office Space,Comedy            ,Three company workers who hate their jobs decide to rebel against their greedy boss.,1999,89 min
"South Park: Bigger, Longer & Uncut","Animation, Comedy, Fantasy            ","When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame.",1999,81 min
Summer of Sam,"Crime, Drama, Romance            ","Spike Lee's take on the ""Son of Sam"" murders in New York City during the summer of 1977 centering on the residents of an Italian-American Northeast Bronx neighborhood who live in fear and distrust of one another.",1999,142 min
The Insider,"Biography, Drama, Thriller            ",A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.,1999,157 min
The Limey,"Crime, Drama, Mystery            ",An extremely volatile and dangerous Englishman goes to Los Angeles to find the man he considers responsible for his daughter's death.,1999,89 min
The Matrix,"Action, Sci-Fi            ","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",1999,136 min
The Sixth Sense,"Drama, Mystery, Thriller            ","A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist.",1999,107 min
The Straight Story,"Biography, Drama            ",An old man makes a long journey by lawnmower to mend his relationship with an ill brother.,1999,112 min
The Virgin Suicides,"Drama, Romance            ","A group of male friends become obsessed with five mysterious sisters who are sheltered by their strict, religious parents in suburban Detroit in the mid 1970s.",1999,97 min
Three Kings,"Action, Adventure, Comedy            ","In the aftermath of the Persian Gulf War, four soldiers set out to steal gold that was stolen from Kuwait, but they discover people who desperately need their help.",1999,114 min
Wild Zero,"Comedy, Horror, Music            ",Only legendary Japanese garage rock band Guitar Wolf can stand between a race of aliens from destroying earth with an army of zombies.,1999,98 min
Amores perros,"Drama, Thriller            ","A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",2000,154 min
Batoru rowaiaru,"Action, Adventure, Drama            ","In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act.",2000,114 min
Best in Show,Comedy            ,A behind-the-scenes look into the highly competitive and cut-throat world of dog shows through the eyes of a group of ruthless dog owners.,2000,90 min
Chuck & Buck,"Comedy, Drama            ",An oddly naive man-child stalks his childhood best friend and tries to reconnect with their past.,2000,96 min
Wo hu cang long,"Action, Adventure, Drama            ",A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,2000,120 min
Fa Yeung Nin Wah,"Drama, Romance            ","Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",2000,98 min
Memento,"Mystery, Thriller            ",A man with short-term memory loss attempts to track down his wife's murderer.,2000,113 min
Requiem for a Dream,Drama            ,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,2000,102 min
Sexy Beast,"Crime, Drama, Thriller            ","Brutal gangster Don Logan recruits ""retired"" safecracker Gal for one last job, but it goes badly for both of them.",2000,89 min
Sånger från andra våningen,"Comedy, Drama            ","Where are we humans going? A film poem inspired by the Peruvian poet César Vallejo. We meet people in the city. People trying to communicate, searching compassion and get the connection of small and large things.",2000,98 min
The Filth and the Fury,"Documentary, Biography, Music            ","A film about the career of the notorious punk rock band, the Sex Pistols.",2000,108 min
The Low Down,Drama            ,Relationships as they are really lived.,2000,96 min
Le fabuleux destin d'Amélie Poulain,"Comedy, Romance            ","Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",2001,122 min
Donnie Darko,"Drama, Mystery, Sci-Fi            ","After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.",2001,113 min
Frailty,"Crime, Drama, Thriller            ","A mysterious man arrives at the offices of an FBI agent and recounts his childhood: how his religious fanatic father received visions telling him to destroy people who were in fact ""demons.""",2001,100 min
Jeepers Creepers,"Horror, Mystery            ",A brother and sister driving home through isolated countryside for spring break encounter a flesh-eating creature which is in the midst of its ritualistic eating spree.,2001,90 min
Mulholland Dr.,"Drama, Mystery, Thriller            ","After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.",2001,147 min
Ocean's Eleven,"Crime, Thriller            ",Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.,2001,116 min
Siu Lam juk kau,"Action, Comedy, Fantasy            ",A young Shaolin follower reunites with his discouraged brothers to form a soccer team using their martial art skills to their advantage.,2001,113 min
Sen to Chihiro no kamikakushi,"Animation, Adventure, Family            ","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",2001,125 min
El espinazo del diablo,"Drama, Horror, Thriller            ","After Carlos - a 12-year-old whose father has died in the Spanish Civil War - arrives at an ominous boys' orphanage, he discovers the school is haunted and has many dark secrets which he must uncover.",2001,106 min
The Lord of the Rings: The Fellowship of the Ring,"Action, Adventure, Drama            ",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,2001,178 min
The Others,"Horror, Mystery, Thriller            ",A woman who lives in her darkened old family house with her two photosensitive children becomes convinced that the home is haunted.,2001,101 min
The Royal Tenenbaums,"Comedy, Drama            ",The eccentric members of a dysfunctional family reluctantly gather under the same roof for various reasons.,2001,110 min
Training Day,"Action, Crime, Drama            ",A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.,2001,122 min
Y tu mamá también,Drama            ,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other.",2001,106 min
24 Hour Party People,"Biography, Comedy, Drama            ","In 1976, Tony Wilson sets up Factory Records and brings Manchester's music to the world.",2002,117 min
Adaptation.,"Comedy, Drama            ",A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.,2002,115 min
Cidade de Deus,"Crime, Drama            ","In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",2002,130 min
Ying xiong,"Action, Adventure, Drama            ","A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors.",2002,120 min
Mou gaan dou,"Action, Crime, Drama            ","A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.",2002,101 min
Irréversible,"Crime, Drama, Mystery            ",Events over the course of one traumatic night in Paris unfold in reverse-chronological order as the beautiful Alex is brutally raped and beaten by a stranger in an underpass tunnel.,2002,97 min
Boksuneun naui geot,"Crime, Drama, Thriller            ","A recently laid off factory worker kidnaps his former boss' friend's daughter, hoping to use the ransom money to pay for his sister's kidney transplant.",2002,129 min
Good Bye Lenin!,"Comedy, Drama, Romance            ","In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared.",2003,121 min
Haute tension,Horror            ,"Best friends Marie and Alexia decide to spend a quiet weekend at Alexia's parents' secluded farmhouse. But on the night of their arrival, the girls' idyllic getaway turns into an endless night of horror.",2003,91 min
Kill Bill: Vol. 1,"Action, Crime, Drama            ","After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",2003,111 min
Los Angeles Plays Itself,"Documentary, History            ",A documentary on how Los Angeles has been used and depicted in the movies.,2003,169 min
Lost in Translation,"Comedy, Drama            ",A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.,2003,102 min
Master and Commander: The Far Side of the World,"Action, Adventure, Drama            ","During the Napoleonic Wars, a brash British captain pushes his ship and crew to their limits in pursuit of a formidable French war vessel around South America.",2003,138 min
Salinui chueok,"Crime, Drama, Mystery            ","In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",2003,131 min
Oldeuboi,"Action, Drama, Mystery            ","After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",2003,101 min
Ong-bak,"Action, Crime, Thriller            ","When the head of a statue sacred to a village is stolen, a young martial artist goes to the big city and finds himself taking on the underworld to retrieve it.",2003,108 min
School of Rock,"Comedy, Music            ","After being kicked out of his rock band, Dewey Finn becomes a substitute teacher of an uptight elementary private school, only to try and turn his class into a rock band.",2003,109 min
Les triplettes de Belleville,"Animation, Comedy, Drama            ","When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him.",2003,80 min
Windy City Heat,"Documentary, Comedy            ",A man caught up in the glamor of being a Hollywood celebrity has no idea that the production he's in is a fake.,2003 TV Movie,120 min
Anchorman: The Legend of Ron Burgundy,Comedy            ,"Ron Burgundy is San Diego's top-rated newsman in the male-dominated broadcasting of the 1970s, but that's all about to change for Ron and his cronies when an ambitious woman is hired as a new anchor.",2004,94 min
Before Sunset,"Drama, Romance            ","Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",2004,80 min
Kerd ma lui,"Action, Crime, Drama            ",A group of athletes helping a poor village must stop an evil tyrant and his men from terrorizing the village.,2004,96 min
Collateral,"Action, Crime, Drama            ",A cab driver finds himself the hostage of an engaging contract killer as he makes his rounds from hit to hit during one night in Los Angeles.,2004,120 min
Dead Man's Shoes,"Crime, Drama, Thriller            ",A disaffected soldier returns to his hometown to get even with the thugs who brutalized his mentally-challenged brother years ago.,2004,90 min
Eternal Sunshine of the Spotless Mind,"Drama, Romance, Sci-Fi            ","When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever.",2004,108 min
Kill Bill: Vol. 2,"Action, Crime, Thriller            ","The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",2004,137 min
Kung fu,"Action, Comedy, Fantasy            ","In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf.",2004,99 min
Man on Fire,"Action, Crime, Drama            ","In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.",2004,146 min
Napoleon Dynamite,Comedy            ,"A listless and alienated teenager decides to help his new friend win the class presidency in their small western high school, while he must deal with his bizarre family life back home.",2004,96 min
Sideways,"Comedy, Drama, Romance            ","Two men reaching middle age with not much to show but disappointment embark on a week-long road trip through California's wine country, just as one is about to take a trip down the aisle.",2004,127 min
Spider-Man 2,"Action, Adventure, Sci-Fi            ",Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.,2004,127 min
Team America: World Police,"Action, Comedy            ","Popular Broadway actor Gary Johnston is recruited by the elite counter-terrorism organization Team America: World Police. As the world begins to crumble around him, he must battle with terrorists, celebrities and falling in love.",2004,98 min
The Bourne Supremacy,"Action, Mystery, Thriller            ","When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",2004,108 min
The Incredibles,"Animation, Action, Adventure            ","While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",2004,115 min
A History of Violence,"Action, Crime, Drama            ","A mild-mannered man becomes a local hero through an act of violence, which sets off repercussions that will shake his family to its very core.",2005,96 min
Brick,"Crime, Drama, Mystery            ",A teenage loner pushes his way into the underworld of a high school crime ring to investigate the disappearance of his ex-girlfriend.,2005,110 min
Brokeback Mountain,"Drama, Romance            ",Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends.,2005,134 min
Domino,"Action, Biography, Crime            ",A recounting of Domino Harvey's life story. The daughter of actor Laurence Harvey turned away from her career as a Ford model to become a bounty hunter.,2005,127 min
Caché,"Drama, Mystery, Thriller            ",A married couple is terrorized by a series of surveillance videotapes left on their front porch.,2005,117 min
Kiss Kiss Bang Bang,"Comedy, Crime, Mystery            ","After being mistaken for an actor, a New York thief is sent to Hollywood to train under a private eye for a potential movie role, but the duo are thrown together with a struggling actress into a murder mystery.",2005,103 min
Sin City,"Crime, Thriller            ","An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption.",2005,124 min
The Descent,"Adventure, Horror, Thriller            ","A caving expedition goes horribly wrong, as the explorers become trapped and ultimately pursued by a strange breed of predators.",2005,99 min
Apocalypto,"Action, Adventure, Drama            ","As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression.",2006,139 min
Casino Royale,"Action, Adventure, Thriller            ","After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",2006,144 min
Children of Men,"Action, Drama, Sci-Fi            ","In 2027, in a chaotic world in which women have somehow become infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.",2006,109 min
Inside Man,"Crime, Drama, Mystery            ","A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.",2006,129 min
Marie Antoinette,"Biography, Drama, History            ","The retelling of France's iconic but ill-fated queen, Marie Antoinette. From her betrothal and marriage to Louis XVI at 14 to her reign as queen at 19 and to the end of her reign as queen, and ultimately the fall of Versailles.",2006,123 min
Pan's Labyrinth,"Drama, Fantasy, War            ","In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",2006,118 min
The Foot Fist Way,Comedy            ,"An inept tae kwon do instructor struggles with marital troubles and an unhealthy obsession with fellow tae kwon do enthusiast Chuck ""The Truck"" Wallace.",2006,85 min
Gwoemul,"Drama, Horror, Sci-Fi            ",A monster emerges from Seoul's Han River and begins attacking people. One victim's loving family does what it can to rescue her from its clutches.,2006,120 min
United 93,"Action, Drama, History            ","A real-time account of the events on United Flight 93, one of the planes hijacked on September 11th, 2001 that crashed near Shanksville, Pennsylvania when passengers foiled the terrorist plot.",2006,111 min
[Rec],"Horror, Mystery, Thriller            ",A television reporter and cameraman follow emergency workers into a dark apartment building and are quickly locked inside with something terrifying.,2007,78 min
Control,"Biography, Drama, Music            ","A profile of Ian Curtis, the enigmatic singer of Joy Division whose personal, professional, and romantic troubles led him to commit suicide at the age of 23.",2007,122 min
Hot Rod,"Comedy, Sport            ",Self-proclaimed stuntman Rod Kimble is preparing for the jump of his life - to clear fifteen buses to raise money for his abusive stepfather Frank's life-saving heart operation.,2007,88 min
No Country for Old Men,"Crime, Drama, Thriller            ",Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,2007,122 min
Persepolis,"Animation, Biography, Drama            ",A precocious and outspoken Iranian girl grows up during the Islamic Revolution.,2007,96 min
Superbad,Comedy            ,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.,2007,113 min
There Will Be Blood,Drama            ,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",2007,158 min
The King of Kong,"Documentary, Biography, Sport            ",Die-hard gamers compete to break world records on classic arcade games.,2007,79 min
Los cronocrímenes,"Horror, Mystery, Sci-Fi            ",A man accidentally gets into a time machine and travels back in time nearly an hour. Finding himself will be the first of a series of disasters of unforeseeable consequences.,2007,92 min
Zodiac,"Crime, Drama, Mystery            ","Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.",2007,157 min
Gomorra,"Crime, Drama            ","Scampia Vele is the corbusian architecture which has become a stronghold for Mafia of Naples, Italy.",2008,137 min
Happy-Go-Lucky,"Comedy, Drama, Romance            ","A look at a few chapters in the life of Poppy, a cheery, colorful, North London schoolteacher whose optimism tends to exasperate those around her.",2008,118 min
Hunger,"Biography, Crime, Drama            ",Irish republican Bobby Sands leads the inmates of a Northern Irish prison in a hunger strike.,2008,96 min
Låt den rätte komma in,"Drama, Fantasy, Horror            ","Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl.",2008,114 min
Man on Wire,"Documentary, Biography, Crime            ","A look at tightrope walker Philippe Petit's daring, but illegal, high-wire routine performed between New York City's World Trade Center's twin towers in 1974, what some consider, ""the artistic crime of the century"".",2008,94 min
"Synecdoche, New York",Drama            ,"A theatre director struggles with his work, and the women in his life, as he creates a life-size replica of New York City inside a warehouse as part of his new play.",2008,124 min
The Dark Knight,"Action, Crime, Drama            ","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",2008,152 min
The Ruins,Horror            ,"A leisurely Mexican holiday takes a turn for the worse when a group of friends and a fellow tourist embark on a remote archaeological dig in the jungle, where something evil lives among the ruins.",2008,90 min
The Wrestler,"Drama, Sport            ","A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.",2008,109 min
Un prophète,"Crime, Drama            ",A young Algerian man is sent to a French prison.,2009,155 min
A Serious Man,Drama            ,"Larry Gopnik, a Midwestern physics teacher, watches his life unravel over multiple sudden incidents. Though seeking meaning and answers amidst his turmoils, he seems to keep sinking.",2009,106 min
Coraline,"Animation, Drama, Family            ","An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.",2009,100 min
Crank: High Voltage,"Action, Crime, Thriller            ",Chelios faces a Chinese mobster who has stolen his nearly indestructible heart and replaced it with a battery-powered ticker which requires regular jolts of electricity to keep working.,2009,96 min
District 9,"Action, Sci-Fi, Thriller            ",Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.,2009,112 min
Fantastic Mr. Fox,"Animation, Adventure, Comedy            ",An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.,2009,87 min
Fish Tank,Drama            ,Everything changes for 15-year-old Mia when her mum brings home a new boyfriend.,2009,123 min
L'enfer d'Henri-Georges Clouzot,Documentary            ,"Henri-Georges Clouzot's unfinished masterpiece, L'enfer (1964), is reconstructed in this film which is part drama and part documentary.",2009,100 min
Inglourious Basterds,"Adventure, Drama, War            ","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",2009,153 min
Le Donk & Scor-zay-zee,Comedy            ,"Rock roadie, Le Donk, has lived, loved and learned. Along the way, he's lost a classy girlfriend but gained a sidekick, Scorz-Ayz-Ee. He sets out to make Scorz a star with a little help from the Artic Monkeys.",2009,71 min
Moon,"Drama, Mystery, Sci-Fi            ","Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems.",2009,97 min
Enter the Void,"Drama, Fantasy            ","An American drug dealer living in Tokyo is betrayed by his best friend and killed in a drug deal. His soul, observing the repercussions of his death, seeks resurrection.",2009,161 min
Splice,"Horror, Sci-Fi            ",Genetic engineers Clive Nicoli and Elsa Kast hope to achieve fame by successfully splicing together the DNA of different animals to create new hybrid animals for medical use.,2009,104 min
World's Greatest Dad,"Comedy, Drama            ","When his son's body is found in a humiliating accident, a lonely high school teacher inadvertently attracts an overwhelming amount of community and media attention after covering up the truth with a phony suicide note.",I 2009,99 min
Jûsan-nin no shikaku,"Action, Adventure, Drama            ",A group of assassins come together for a suicide mission to kill an evil lord.,2010,141 min
Animal Kingdom,"Crime, Drama            ",A seventeen-year-old navigates his survival amongst an explosive criminal family and the detective who thinks he can save him.,2010,113 min
Black Swan,"Drama, Thriller            ","A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".",2010,108 min
Inception,"Action, Adventure, Sci-Fi            ","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",2010,148 min
À bout portant,"Action, Crime, Drama            ","Samuel, a male nurse, saves the life of a thief whose henchmen take Samuel's wife hostage and force him to spring their boss.",2010,84 min
Senna,"Documentary, Biography, Sport            ","A documentary on Brazilian Formula One racing driver Ayrton Senna, who won the F1 world championship three times before his death at age 34.",2010,106 min
The Arbor,"Documentary, Biography, Drama            ",Portrayal of the late Bradford playwright Andrea Dunbar.,2010,94 min
Bernie,"Biography, Comedy, Crime            ","In small-town Texas, an affable mortician strikes up a friendship with a wealthy widow, though when she starts to become controlling, he goes to great lengths to separate himself from her grasp.",2011,99 min
Beyond the Black Rainbow,"Horror, Sci-Fi, Thriller            ","Despite being under heavy sedation, a young woman tries to make her way out of the Arboria Institute, a secluded, quasifuturistic commune.",2010,110 min
Dreams of a Life,"Documentary, Biography, Drama            ","A filmmaker sets out to discover the life of Joyce Vincent, who died in her bedsit in North London in 2003. Her body wasn't discovered for three years, and newspaper reports offered few details of her life - not even a photograph.",2011,95 min
The Social Network,"Biography, Drama            ","As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business.",2010,120 min
The Town,"Crime, Drama, Thriller            ","A proficient group of thieves rob a bank and hold Claire, the assistant manager, hostage. Things begin to get complicated when one of the crew members falls in love with Claire.",2010,125 min
Michael,"Drama, Thriller            ","Set in Kolkata, this is a character-driven psychological drama in which MICHAEL (Naseeruddin Shah), a loyal, hardworking police officer is ordered by his superiors to open fire on a ...                See full summary »",I 2011,97 min
Midnight in Paris,"Comedy, Fantasy, Romance            ","While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.",2011,94 min
The Artist,"Comedy, Drama, Romance            ",An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.,I 2011,100 min
The Cabin in the Woods,"Horror, Mystery, Thriller            ","Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.",2011,95 min
Serbuan maut,"Action, Crime, Thriller            ",A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.,2011,101 min
La piel que habito,"Drama, Horror, Mystery            ","A brilliant plastic surgeon, haunted by past tragedies, creates a type of synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession.",2011,120 min
Anna Karenina,"Drama, Romance            ","In late-19th-century Russian high society, St. Petersburg aristocrat Anna Karenina enters into a life-changing affair with the dashing Count Alexei Vronsky.",I 2012,129 min
Berberian Sound Studio,"Drama, Horror, Thriller            ",A sound engineer's work for an Italian horror studio becomes a terrifying case of life imitating art.,2012,92 min
Compliance,"Crime, Drama, History            ","A normal Friday service at a fast food restaurant becomes interrupted by a police officer who claims an employee stole from a customer, but something more sinister is going on.",2012,90 min
Django Unchained,"Drama, Western            ","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.",2012,165 min
Frances Ha,"Comedy, Drama, Romance            ","A New York woman apprentices for a dance company and throws herself headlong into her dreams, even as the possibility of realizing them dwindles.",2012,86 min
Holy Motors,"Drama, Fantasy            ","A man boards a limousine to be driven to his day's work: nine mysterious ""appointments.""",2012,115 min
Killing Them Softly,"Crime, Drama, Thriller            ","Jackie Cogan is an enforcer hired to restore order after three dumb guys rob a Mob protected card game, causing the local criminal economy to collapse.",2012,97 min
Life of Pi,"Adventure, Drama, Fantasy            ","A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",2012,127 min
Looper,"Action, Drama, Sci-Fi            ","In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination.",2012,119 min
Magic Mike,"Comedy, Drama            ","A male stripper teaches a younger performer how to party, pick up women, and make easy money.",2012,110 min
